customer_id,response_time_hours,issue_complexity,agent_experience_months,previous_interactions,survey_communication,survey_professionalism,survey_speed,channel,time_of_day,issue_type,avg_survey_score,satisfied,predicted_satisfaction,satisfaction_probability,prediction_correct
1,0.9385361799537182,3,36.71923660855946,2,5.608940491456099,6.211568584563043,6.242279177544669,email,afternoon,general,6.020929417854603,0,0,0.4907981821831538,True
2,6.020242861835042,3,31.404071394920372,3,8.932650433755082,8.04998152695053,8.213227853828098,phone,evening,complaint,8.398619938177903,1,0,0.43756459292757555,False
3,2.6334913870908987,1,32.20283187840573,2,6.048587924774029,6.642231289210235,8.319112520934077,phone,afternoon,complaint,7.003310578306113,0,1,0.6666530346961552,False
4,1.8258851075519065,3,7.60853146559359,3,8.693271231324085,9.653429818070654,6.289364802331089,phone,morning,general,8.212021950575275,0,1,0.6109096949331236,False
5,0.33924974092469257,3,38.543327824636805,1,6.649589558525702,9.35380975490191,9.169420707535135,chat,afternoon,billing,8.390940006987583,1,1,0.9743545647321192,True
6,0.33919258382921036,3,27.135006374806274,2,7.302998516135982,8.22491691162668,1.5644106599350929,email,evening,technical,5.697442029232584,1,0,0.328206956258986,False
7,0.11967753721736135,3,19.568674329045564,2,6.257553173663949,9.133208045723729,4.599049498271285,email,evening,complaint,6.663270239219654,1,1,0.6095271816827202,True
8,4.022461728959879,3,25.72066160810701,3,5.476006853247957,7.577749620148057,5.151861866554772,email,afternoon,billing,6.068539446650262,0,0,0.1094988759402967,True
9,1.838164307254529,3,2.6851772052201603,5,4.382859418592048,8.418524993250019,5.324512958838698,chat,morning,general,6.0419657902269215,0,0,0.0881202821824184,True
10,2.4625001234091806,4,28.90383373776805,3,5.417013762111311,9.27326435436249,7.405273312134612,email,evening,general,7.365183809536138,0,1,0.5418274575456895,False
11,0.1,4,11.647541901815142,6,6.514136720176118,7.794598418153175,7.322068045497023,email,afternoon,general,7.210267727942106,1,0,0.4320249708799961,False
12,7.007114950316624,4,7.767956569877587,2,7.317818768243326,7.193775394182859,7.509183029915014,chat,evening,technical,7.3402590641137335,0,0,0.023571437022627928,True
13,3.57285908670935,5,5.731689765385305,5,8.515568969924896,5.454453650187461,7.872946689438477,chat,afternoon,technical,7.280989769850277,0,0,0.050341262097189976,True
